Clinic,URL,SignNow_Invite_LINKE,,Call scheduled to discuss PMA 
Dr. David Dick Wellspace Primary Care ,https://forgottenformula.com/member-signup-clinic?clinic_id=619,https://signnow.com/s/I2zDw2VJ?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D619&name_formula=Dr.%20David%20Dick%20Division%7CMember%20Name%7CEmail%201,Dr. Dick,Waiting on response 
Absolute Health,https://forgottenformula.com/member-signup-clinic?clinic_id=364,https://signnow.com/s/4wqGezoe?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D364&name_formula=Dr.%20Frazier%20Division%7CMEMBERS%20NAME%7CEmail%20Address,Frazier ,Yes
Functional Health Center ,https://forgottenformula.com/member-signup-clinic?clinic_id=169,https://signnow.com/s/2S56e85O?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D169&name_formula=Dr.%20Jared%20Allomong%20Division%7CMEMBERS%20NAME%7CEmail%20Address,Jared Allomong,Yes
Makana Division (Lori),https://forgottenformula.com/member-signup-clinic?clinic_id=306,https://signnow.com/s/VuAOAV3R?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D306&name_formula=Makana%20Division%7CMember%20Name%7CEmail%201,Lori HMG,Waiting on response 
Makana Division (Gina),https://forgottenformula.com/member-signup-clinic?clinic_id=729,https://signnow.com/s/C1WDXuOc?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D729&name_formula=Makana%20Division%7CMember%20Name%7CEmail%201,,
Michael McNeil ,https://forgottenformula.com/member-signup-clinic?clinic_id=531,https://signnow.com/s/098sIy3i?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D531&name_formula=Makana%20Division%7CMember%20Name%7CEmail%201,Michael McNeal,
Well Within Frisco Demaris ,https://forgottenformula.com/member-signup-clinic?clinic_id=357,https://signnow.com/s/asdji1gW?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D357&name_formula=Dr.%20Demaris%20Division%7CMEMBERS%20NAME%7CEmail%20Address,Dr. Demaris,
Rooted in Chiropractic Dr. Robbins ,https://forgottenformula.com/member-signup-clinic?clinic_id=13,,Dr. Eric Robbins,Yes
Well Within Frisco Staff ,https://forgottenformula.com/member-signup-clinic?clinic_id=553,https://signnow.com/s/asdji1gW?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D553&name_formula=Dr.%20Demaris%20Division%7CMEMBERS%20NAME%7CEmail%20Address,Frisco Staff,
Well Within Frisco Demaris Back up ,https://forgottenformula.com/member-signup-clinic?clinic_id=25,https://signnow.com/s/asdji1gW?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D25&name_formula=Dr.%20Demaris%20Division%7CMEMBERS%20NAME%7CEmail%20Address,Demaris Spare,
Holtorf Group PMA,https://forgottenformula.com/member-signup-clinic?clinic_id=212,https://signnow.com/s/SxIbTkBj?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D212&name_formula=Holtorf%20Medical%20Group%20Division%7CMEMBERS%20NAME%7CEmail%20Address,Dr. Holtorf,
Holtorf Staff Peter HG PMA link,https://forgottenformula.com/member-signup-clinic?clinic_id=487,https://signnow.com/s/SxIbTkBj?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D487&name_formula=Holtorf%20Medical%20Group%20Division%7CMEMBERS%20NAME%7CEmail%20Address,,
Dr. Nick Hagan Division Innate Wellness,https://forgottenformula.com/member-signup-clinic?clinic_id=172,https://signnow.com/s/OhIgzsvR?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D172&name_formula=Dr.%20Nick%20Hagan%20Division%7CMEMBERS%20NAME%7CEmail%20Address,Dr. Nick Hagan ,Yes
Quantum Wellness Sarasota Division loren URL,https://forgottenformula.com/member-signup-clinic?clinic_id=535,https://signnow.com/s/GzC5VN27?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D535&name_formula=Quantum%20Wellness%20Center%20Sarasota%20Division%7CMember%20Name%7CEmail%201,"Dr. Loren Swenson , Dr. Darlene ",Waiting on response 
Quantum Wellness Orem Division Loren Url,https://forgottenformula.com/member-signup-clinic?clinic_id=523,https://signnow.com/s/nrCsWsgB?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D523&name_formula=Quantum%20Wellness%20Center%20Orem%20Division%7CMember%20Name%7CEmail%201,"Dr. Loren Swenson , Dr. Darble",
Optimal Health Spectrum,https://forgottenformula.com/member-signup-clinic?clinic_id=465,https://signnow.com/s/qgTphFfw?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D465&name_formula=Dr.%20Lynn%20Mielke%20Optimal%20Health%20Spectrums%7CMember%20Name%7CEmail%201,Dr. Lynn Mielke,Waiting on response 
Glow Within Aesthetics ,https://forgottenformula.com/member-signup-clinic?clinic_id=627,https://signnow.com/s/KVOyM9BR?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D627&name_formula=Kristen%20Dugan%20Glow%20within%20Aesthetics%7CMember%20Name%7CEmail%201,Kourtney Dugan,Waiting on response 
03 Revival,https://forgottenformula.com/member-signup-clinic?clinic_id=545,https://signnow.com/s/x5XwN2c4?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D545&name_formula=03%20Revival%20Dr.%20Faimon%7CMember%20Name%7CEmail%201,Donna Faimon,Yes
Lauren Kinney ,https://forgottenformula.com/member-signup-clinic?clinic_id=628,https://signnow.com/s/gKoF16Lb?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D628&name_formula=Kinney%20Division%7CMember%20Name%7CEmail%201,Lauren Kinney,Waiting on response 
Tennants Natural Mind Body and Soul ,https://forgottenformula.com/member-signup-clinic?clinic_id=126,https://signnow.com/s/Tuibtah7?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D126&name_formula=Tennants%20Division%20Natural%20Wellness%20Mind%20Body%20Spirit%7CMember%20Name%7CEmail%201, Tennants,Yes
Waldrons and Braunaugels Vitalora LLC ,https://forgottenformula.com/member-signup-clinic?clinic_id=497,https://signnow.com/s/IPklpH8h?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D497&name_formula=Vitalora%20LLC%20(Waldrons)%7CMember%20Name%7CEmail%201,Waldron's ,Waiting on response 
-Tom,https://forgottenformula.com/member-signup-clinic?clinic_id=496,https://signnow.com/s/IPklpH8h?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D496&name_formula=Vitalora%20LLC%20(Waldrons)%7CMember%20Name%7CEmail%201,-Tom,
-Ann ,https://forgottenformula.com/member-signup-clinic?clinic_id=495,https://signnow.com/s/IPklpH8h?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D495&name_formula=Vitalora%20LLC%20(Waldrons)%7CMember%20Name%7CEmail%201,-Ann,
-Rich,https://forgottenformula.com/member-signup-clinic?clinic_id=498,https://signnow.com/s/IPklpH8h?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D498&name_formula=Vitalora%20LLC%20(Waldrons)%7CMember%20Name%7CEmail%201,-Rich,
Dr Eric Robbins / Rooted Chiropractic ,https://forgottenformula.com/member-signup-clinic?clinic_id=13,https://signnow.com/s/bjSYTDqn?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D13&name_formula=Rooted%20Chiropractic%20and%20Wellness%20Center%20Dr.%20Robbins%7CMember%20Name%7CEmail%201,Erik Robbins ,Yes
Sculptiva - Carl,https://forgottenformula.com/member-signup-clinic?clinic_id=821,https://signnow.com/s/rGRx6yMz?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D821&name_formula=Sculptiva%7CMember%20Name%7CEmail%201, Carl/Sculptiva,
Corporate Member SignUps,https://forgottenformula.com/member-signup-clinic?clinic_id=4,https://signnow.com/s/8rl9c26B?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D4&name_formula=FF%20PMA%20Network%20Unified%20Members%20Contract%7CFull%20Name%201%7CEmail%201,Corporate ,
Doctor Onboarding Trustee,https://forgottenformula.com/member-signup-clinic?clinic_id=2,https://signnow.com/s/vYMPtMA4?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fdocmem%3Dtrue&name_formula=Membership%20Contract%20Doctor%20and%20Onboarding%7CDcotors%20Name%7CClinic%20Name, Trustee,
Rick Murphy ,https://forgottenformula.com/member-signup-clinic?clinic_id=609,https://signnow.com/s/2gIrKHnd?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D609&name_formula=Origin%20Spine%20and%20Wellness%7CMember%20Name%7CEmail%201,Rick Murphy ,
Christin Hart Fleaux Injections ,https://forgottenformula.com/member-signup-clinic?clinic_id=678,https://signnow.com/s/Kdb8VvOq?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D678&name_formula=Dr.%20Christine%20Hart%20Division%20Fleaux%20Infusions%7CMember%20Name%7CEmail%201,Christine Hart,Yes
Amy Lafitte Back to Eden Wellness,https://forgottenformula.com/member-signup-clinic?clinic_id=5,https://signnow.com/s/Iaw9SKTq?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D5&name_formula=Amy%20Lafitte%20Back%20To%20Eden%20Wellness%7CMember%20Name%7CEmail%201,Amy Lafitte,Waiting on response 
Mark Bergard (Needs demaris url ),https://forgottenformula.com/member-signup-clinic?clinic_id=133,https://signnow.com/s/asdji1gW?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D553&name_formula=Dr.%20Demaris%20Division%7CMEMBERS%20NAME%7CEmail%20Address,Mark Bregard ,
Balanced Body Chiropractic & Acupuncture,https://forgottenformula.com/member-signup-clinic?clinic_id=673,https://signnow.com/s/cTCZglbN?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D673&name_formula=Balanced%20Body%20Chiropractic%20%26%20Acupuncture%7CMember%20Name%7CEmail%201,Heather Wilkins,Yes
Better Health (Andy Thompson),https://forgottenformula.com/member-signup-clinic?clinic_id=544,https://signnow.com/s/z8A4nELH?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D544&name_formula=Better%20Health%20Thompson%20Division%7CMember%20Name%7CEmail%201,Andy Thompson ,Yes
Healer onboarding (Kami),https://forgottenformula.com/member-signup-clinic?clinic_id=58,https://signnow.com/s/HVrTCzes?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fhealer%3Dtrue&name_formula=Healer%202026%20Contract%7CMember%20Info%7CEmail,Kami,
Ashley Rangel Voice of truch consulting,https://forgottenformula.com/member-signup-clinic?clinic_id=959,https://signnow.com/s/hXEzYoEP?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D959&name_formula=Voice%20of%20truth%20consulting%20Rangel%20Division%7CMember%20Name%7CEmail%201,Ashley Rangel,Yes
Dusti Canalles Spiritual Healing Holistic Alternative,https://forgottenformula.com/member-signup-clinic?clinic_id=973,https://signnow.com/s/XiXTMpZD?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D973&name_formula=Spiritual%20Healing%20Holistic%20Alternative%7CMember%20Name%7CEmail%201,Dusti Canalles,Waiting on response 
Marianne Waldron Sculptiva,,,Marianne/Sculptiva,
Julia Hahn Touch of Grace PMA,https://forgottenformula.com/member-signup-clinic?clinic_id=175,https://signnow.com/s/ZES0OMI5?blank_redirect=https%3A%2F%2Fwww.forgottenformula.com%2Fcart%2F%3Fclinic_id%3D175&name_formula=Touch%20of%20Grace%20Therapeutic%20Spa%20PMA%7CMember%20Name%7CEmail%201,,
